,X,Object.ID,scan.name,LMA,Leaf.Area..cm2.,Leaf.mass..g.,SLA,Species,Location,Notes,Species_ID,GenePop_ID,SpeciesLoc_ID,Clone,sp_loc,genetic_name,Name,DA
35,62.5,154,"dryala-tm6_00031, dryala-tm6_00034, dryala-tm6_00035, dryala-tm6_00036",0.012055623,8.27,0.0997,82.94884654,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi06_DA,DryalaTM6,0.9788
36,66.5,158.5,"dryala-tm7_00037, dryala-tm7_00038, dryala-tm7_00039, dryala-tm7_00040",0.012427746,8.65,0.1075,80.46511628,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi07_DA,DryalaTM7,0.9768
37,70.5,166.25,"dryala-tm8_00044, dryala-tm8_00046, dryala-tm8_00047, dryala-tm8_00048",0.013905229,6.12,0.0851,71.91539365,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi08_DA,DryalaTM8,0.9936
38,74.5,172,"dryala-tm9_00050, dryala-tm9_00051, dryala-tm9_00053, dryala-tm9_00054",0.010747126,10.44,0.1122,93.04812834,alaskensis,Twelve Mile,NA,DA,DA,DA_tmi,No,DA_tm,tmi09_DA,DryalaTM9,0.9964
39,342.5,1126.75,"wdb-dry_00002, wdb-dry_00003, wdb-dry_00004, wdb-dry_00006",0.012510013,7.49,0.0937,79.93596585,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb01_DA,DryalaWDB1,0.9118
40,346.5,1180.5,"wdb-dry_00055, wdb-dry_00057, wdb-dry_00058, wdb-dry_00060",0.014090909,6.6,0.093,70.96774194,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb10_DA,DryalaWDB10,0.9008
41,350.5,1186,"wdb-dry_00061, wdb-dry_00062, wdb-dry_00063, wdb-dry_00066",0.011619718,12.78,0.1485,86.06060606,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb11_DA,DryalaWDB11,0.7486
42,354.5,1193.5,"wdb-dry_00069, wdb-dry_00070, wdb-dry_00071, wdb-dry_00072",0.013110505,7.33,0.0961,76.27471384,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb12_DA,DryalaWDB12,0.8336
43,358.5,1132.25,"wdb-dry_00007, wdb-dry_00009, wdb-dry_00010, wdb-dry_00011",0.011702432,6.99,0.0818,85.45232274,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb02_DA,DryalaWDB2,0.9912
44,362.5,1137.5,"wdb-dry_00013, wdb-dry_00014, wdb-dry_00015, wdb-dry_00016",0.01295082,5.49,0.0711,77.21518987,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb03_DA,DryalaWDB3,0.7258
45,366.5,1144.5,"wdb-dry_00019, wdb-dry_00020, wdb-dry_00023, wdb-dry_00024",0.012643678,6.96,0.088,79.09090909,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb04_DA,DryalaWDB4,0.8652
46,370.5,1150.75,"wdb-dry_00026, wdb-dry_00027, wdb-dry_00028, wdb-dry_00030",0.019636076,6.32,0.1241,50.92667204,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb05_DA,DryalaWDB5,0.9678
47,378.5,1162.5,"wdb-dry_00038, wdb-dry_00039, wdb-dry_00040, wdb-dry_00041",0.011756579,15.2,0.1787,85.05875769,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb07_DA,DryalaWDB7,0.9098
48,382.5,1169,"wdb-dry_00044, wdb-dry_00045, wdb-dry_00047, wdb-dry_00048",0.012603424,14.02,0.1767,79.34352009,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb08_DA,DryalaWDB8,0.8294
49,386.5,1174.5,"wdb-dry_00050, wdb-dry_00051, wdb-dry_00052, wdb-dry_00053",0.014196617,9.46,0.1343,70.43931497,alaskensis,Wickersham Dome B,NA,DA,DA,DA_wdb,No,DA_wdb,wdb09_DA,DryalaWDB9,0.9574
